,moniker,proposals_voted,self_delegation,tokens,tokens_bluring,identity,website,security_contact,details,commission_rate,max_commission_rate,max_commission_change_rate,min_self_delegation,result
0,Cosmostation,20.0,6.007322032174949,9.235962447066026,10.10000000000003,2.0,1.0,1.0,1.0,3.1500000000000066,1.2150000000000056,0.11499999999999924,1.3800000000000052,56.20328447924101
1,bro_n_bro,25.0,0.019136802390409453,0.14841792040239077,10.10000000000003,2.0,1.0,0.0,1.0,3.1500000000000066,2.1900000000000053,0.7949999999999998,1.3800000000000052,46.782554722792845
2,Sentinel,15.0,0.455638152152606,10.0,10.10000000000003,2.0,1.0,1.0,1.0,3.1500000000000066,1.2150000000000056,0.3899999999999995,1.3800000000000052,46.69063815215265
3,SkyNet | Validators,25.0,0.008565997260468994,0.15051445686871262,10.10000000000003,2.0,1.0,1.0,1.0,3.1500000000000066,1.2150000000000056,0.3899999999999995,1.3800000000000052,46.394080454129224
4,Chorus One,10.0,13.0,2.5295508395619404,10.10000000000003,2.0,1.0,1.0,1.0,0.8000000000000096,2.1900000000000053,0.2149999999999993,1.3800000000000052,45.21455083956199
5,Figment,10.0,8.009298566168939,5.776259710580387,10.10000000000003,2.0,1.0,0.0,1.0,3.1500000000000066,1.2150000000000056,0.7949999999999998,1.3800000000000052,44.42555827674936
6,B-Harvest,20.0,0.09313243829999267,2.3084261823595407,10.10000000000003,2.0,1.0,0.0,1.0,3.1500000000000066,1.2150000000000056,0.7949999999999998,1.3800000000000052,43.04155862065958
7,NosNode,20.0,1.1296005317596807,0.5725880365454289,10.10000000000003,2.0,1.0,1.0,1.0,3.1500000000000066,1.2150000000000056,0.3899999999999995,1.3800000000000052,42.93718856830515
8,Imperator.co,20.0,0.000911276304305212,2.2845483346348363,10.10000000000003,2.0,1.0,0.0,1.0,3.1500000000000066,1.2150000000000056,0.7949999999999998,1.3800000000000052,42.925459610939185
9,#decentralizehk,20.0,0.16238943742718878,0.15678272917667577,10.10000000000003,2.0,1.0,0.0,1.0,3.1500000000000066,2.4900000000000033,0.3899999999999995,1.3800000000000052,41.829172166603904
10,Stakely-io,20.0,0.00010935315651662545,0.09486625527741044,10.10000000000003,2.0,1.0,1.0,1.0,3.1500000000000066,1.2150000000000056,0.7949999999999998,1.3800000000000052,41.73497560843397
11,[ block pane ],20.0,1.489116608865147,0.5647443922443628,10.10000000000003,2.0,1.0,0.0,1.0,3.1500000000000066,0.1800000000000049,0.7949999999999998,1.3800000000000052,41.65886100110956
12,Cat Boss,20.0,9.112763043052119e-05,0.17694303848671455,10.10000000000003,2.0,1.0,0.0,1.0,3.1500000000000066,2.7900000000000014,0.034999999999999254,1.3800000000000052,41.63203416611718
13,Validating Chaos,20.0,0.1195632847731284,1.0364852058524452,10.10000000000003,2.0,0.0,0.0,0.0,3.1500000000000066,2.7900000000000014,0.7949999999999998,1.3800000000000052,41.37104849062561
14,KalpaTech,20.0,0.5558785456261793,0.5138514348155547,10.10000000000003,2.0,1.0,0.0,1.0,3.1500000000000066,1.2150000000000056,0.2149999999999993,1.3800000000000052,41.129729980441766
