,moniker,proposals_voted,self_delegation,tokens,tokens_bluring,identity,website,security_contact,details,commission_rate,max_commission_rate,max_commission_change_rate,min_self_delegation,pre_commits,result
0,0base.vc,45.0,0.028110763764802215,4.365396032974337,5.050000000000015,2.0,1.0,1.0,1.0,3.125000000000006,1.2300000000000058,1.5899999999999996,1.3500000000000052,12.524999999999995,79.26350679673916
1,stake.systems,45.0,0.14276048949229225,0.05466176650533448,5.050000000000015,2.0,1.0,0.0,1.0,0.35000000000000936,1.2300000000000058,1.5899999999999996,1.3500000000000052,14.85,73.61742225599765
2,kytzu,45.0,0.18666490873196237,0.053581935813023576,5.050000000000015,2.0,1.0,0.0,1.0,0.35000000000000936,1.2300000000000058,1.5899999999999996,1.3500000000000052,14.474999999999998,73.28524684454501
3,bro_n_bro,45.0,0.0014572353469781449,0.09179143542481555,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,2.205000000000005,1.5899999999999996,1.3500000000000052,10.199999999999989,72.61324867077181
4,POSTHUMAN ∞ DVS,45.0,0.0024322430252205806,0.13535849511424258,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,1.2300000000000058,0.4399999999999986,1.3500000000000052,10.72499999999999,71.05779073813947
5,B-Harvest,45.0,0.007091878688626972,1.1218428739325774,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,1.2300000000000058,1.5899999999999996,1.3500000000000052,7.1999999999999815,69.67393475262122
6,Cosmostation,36.0,0.626667198673222,6.0,5.050000000000015,2.0,1.0,1.0,1.0,3.125000000000006,1.2300000000000058,0.23999999999999844,1.3500000000000052,9.299999999999986,67.92166719867325
7,NosNode🧪🧿,36.0,0.11287955030411115,0.38686761143604165,5.050000000000015,2.0,1.0,1.0,1.0,3.125000000000006,1.2300000000000058,0.7899999999999989,1.3500000000000052,12.749999999999995,65.79474716174019
8,Cros-nest,36.0,0.055451274560487415,0.5719953624790256,5.050000000000015,2.0,1.0,0.0,0.0,3.125000000000006,1.2300000000000058,1.5899999999999996,1.3500000000000052,10.42499999999999,62.39744663703953
9,Lavender.Five Nodes,36.0,0.0001450296131040154,0.18764870992751498,5.050000000000015,2.0,1.0,1.0,1.0,3.125000000000006,0.21000000000000493,0.7899999999999989,1.3500000000000052,8.099999999999984,59.81279373954064
10,SkyNet | Validators,36.0,0.0006522862981711697,0.07709923992053697,5.050000000000015,2.0,1.0,1.0,1.0,3.125000000000006,1.2300000000000058,0.7899999999999989,1.3500000000000052,6.299999999999979,58.92275152621872
11,syncnode,27.0,0.2900245301283408,0.053681730151304174,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,2.520000000000003,0.7899999999999989,1.3500000000000052,13.049999999999997,57.22870626027967
12,Bi23 Labs,27.0,0.023928615328034086,0.04872786406773086,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,2.7750000000000017,0.7899999999999989,1.3500000000000052,10.42499999999999,54.58765647939579
13,wave,27.0,0.0017348039844977915,0.052029133894872515,5.050000000000015,2.0,1.0,0.0,0.0,3.125000000000006,1.2300000000000058,1.5899999999999996,1.3500000000000052,11.324999999999992,53.7237639378794
14,CryptoCrew Validators ✅,27.0,0.0069457260536332005,0.34902309662131115,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,0.21000000000000493,0.6199999999999988,2.97,9.524999999999988,52.85596882267497
15, BlockNgine 100% slash protected,36.0,5.847662698591685e-05,0.16926444831049425,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,0.21000000000000493,1.5899999999999996,1.3500000000000052,1.1999999999999758,52.69432292493748
16,[ block pane ],27.0,0.11339372764271365,0.5022408045834289,5.050000000000015,2.0,1.0,0.0,1.0,3.125000000000006,0.21000000000000493,1.5899999999999996,1.3500000000000052,9.749999999999988,52.69063453222616
